category,id,name,description,price,price_full,available,show,tags,image_url,notes
Fried Rice,fried-rice-chicken,Chicken,Served with chilli paste and gravy,750,950,TRUE,TRUE,,,
Fried Rice,fried-rice-egg,Egg,Served with chilli paste and gravy,650,850,TRUE,TRUE,,,
Fried Rice,fried-rice-seafood-mix,Seafood Mix,"Prawns, fish and cuttlefish",980,1200,TRUE,TRUE,,,
Fried Rice,fried-rice-mix,Mix,"Chicken, sausages, prawns, fish and cuttlefish",1100,1300,TRUE,TRUE,,,
Fried Rice,fried-rice-mix-beef-pork,"Mix, Beef or Pork","Chicken, sausages, prawns, fish, cuttlefish and a choice of beef or pork",1250,1450,TRUE,TRUE,,,
Noodles,noodles-chicken,Chicken,Served with chilli paste and gravy,750,950,TRUE,TRUE,,,
Noodles,noodles-egg,Egg,Served with chilli paste and gravy,650,800,TRUE,TRUE,,,
Noodles,noodles-seafood-mix,Seafood Mix,"Prawns, fish and cuttlefish",980,1250,TRUE,TRUE,,,
Noodles,noodles-mix,Mix,"Chicken, sausages, prawns, fish and cuttlefish",1100,1300,TRUE,TRUE,,,
Noodles,noodles-mix-beef-pork,"Mix, Beef or Pork","Chicken, sausages, prawns, fish, cuttlefish and a choice of beef or pork",1250,1450,TRUE,TRUE,,,
Kottu Roti,kottu-chicken,Chicken,Served with chilli paste and gravy,750,950,TRUE,TRUE,,,
Kottu Roti,kottu-egg,Egg,Served with chilli paste and gravy,650,800,TRUE,TRUE,,,
Kottu Roti,kottu-beef,Beef,Served with chilli paste and gravy,1000,1300,TRUE,TRUE,,,
String Hopper Kottu,sh-kottu-chicken,Chicken,Served with chilli paste and gravy,700,850,TRUE,TRUE,,,
String Hopper Kottu,sh-kottu-egg,Egg,Served with chilli paste and gravy,650,800,TRUE,TRUE,,,
String Hopper Kottu,sh-kottu-beef,Beef,Served with chilli paste and gravy,950,1200,TRUE,TRUE,,,
Cheese Kottu,cheese-kottu-chicken,Chicken,Served with chilli paste and gravy,950,1350,TRUE,TRUE,,,
Cheese Kottu,cheese-kottu-authentic,Authentic,Served with chilli paste and gravy,800,1000,TRUE,TRUE,,,
Special Dishes,special-nasi-goreng,Nasi Goreng,"Grilled chicken thigh, fried egg, vegetable salad and prawn crackers",1500,,TRUE,TRUE,,,
Special Dishes,special-mongolian-rice,Mongolian Rice,"Grilled chicken thigh, fried egg, vegetable salad and prawn crackers",1500,,TRUE,TRUE,,,
Special Dishes,special-nai-miris-rice,Nai Miris Rice,Chicken fried rice served with chilli paste and gravy,1300,,TRUE,TRUE,,,
Devilled Dishes,devilled-chicken,Chicken,,1000,,TRUE,TRUE,,,
Devilled Dishes,devilled-fish,Fish,,1100,,TRUE,TRUE,,,
